stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding                                                                                                                                                                                                                       
71801,,Barcelona-Sants,,41.37922,2.140624,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                 
61307,,Cartagena,,37.6049670,-0.9751220,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                   
61304,,Torre-Pacheco,,37.7469050,-0.9670780,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                               
61303,,Balsicas-Mar Menor,,37.8188400,-0.9508910,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                          
61200,,Murcia,,37.97465,-1.1299555,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                        
62002,,Orihuela-Miguel Hernandez,,38.0779194,-0.94445,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                     
62103,,Elche Parque/elx Parc,,38.2717784,-0.6952109,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                       
60911,,Alicante/alacant,,38.34445,-0.4950527,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                              
60905,,Elda-Petrer,,38.4848790,-0.8010900,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                 
60902,,Villena,,38.6317380,-0.8676890,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                     
64100,,Xativa,,38.9920972,-0.5244888,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                      
65000,,Valencia-Estacio del Nord,,39.4669346,-0.3771842,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                   
65300,,Castello,,39.9882552,-0.0524126,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                    
65318,,Benicassim,,40.0579451,0.05776460,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                  
65311,,Benicarlo-Penyiscola,,40.4276390,0.41521700,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                        
65312,,Vinaros,,40.4716820,0.45572700,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                     
65402,,Laldea-Amposta-Tortosa,,40.7535420,0.61431400,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                      
65422,,CAMBRILS,,41.0816480,1.0460550,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                     
71500,,Tarragona,,41.1116240,1.25321400,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                   
17000,,Madrid-Chamartin,,40.4720993,-3.6824687,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                            
37606,,Badajoz,,38.8906960,-6.9817530,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                     
37603,,Montijo,,38.9135390,-6.5985770,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                     
37500,,Merida,,38.9215030,-6.3437940,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                      
35400,,Caceres,,39.4611310,-6.3856790,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                     
30000,,Monfrague,,39.9374640,-6.1009100,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                   
35206,,Navalmoral de La Mata,,39.8949130,-5.5456070,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                       
35203,,Oropesa de Toledo,,39.9217460,-5.1861370,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                           
35200,,Talavera de La Reina,,39.9706740,-4.8265120,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                        
35105,,Torrijos,,39.9790030,-4.2830370,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                    
18000,,Madrid - Atocha Cercanias,,40.4061556,-3.6889579,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                   
35001,,Leganes,,40.3286349,-3.7711552,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                     
56312,,Almeria,,36.8349510,-2.4555190,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                     
56200,,Guadix,,37.3168730,-3.1272090,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                      
56009,,Cabra del Santo Cristo Y Alicun,,37.6567129,-3.2626230,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                             
56004,,Jodar-Ubeda,,37.9133430,-3.3489200,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                 
50300,,Linares-Baeza,,38.0688640,-3.5893960,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                               
60400,,Alcazar de San Juan,,39.3956280,-3.2057440,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                         
56100,,Moreda,,37.4312160,-3.3105160,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                      
56301,,Finyana,,37.1846470,-2.8397570,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                     
56308,,Gador,,36.9516240,-2.4876580,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                       
11200,,Miranda de Ebro,,42.6910240,-2.9403660,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                             
13200,,Bilbao-Abando Indalecio Prieto,,43.259609,-2.92915,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                 
13106,,Llodio,,43.142721,-2.959916,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                        
11511,,San Sebastian/donostia,,43.317669,-1.976704,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                        
11208,,Vitoria/gasteiz,,42.8415170,-2.6726010,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                             
11300,,Altsasu/alsasua-Estacion,,42.8948470,-2.1812370,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                    
11400,,Zumarraga,,43.088273,-2.318462,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                     
04104,,Camp Tarragona,,41.1920660,1.27266600,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                              
78400,,Lleida,,41.6206960,0.63266900,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                      
04040,,Zaragoza-Delicias,,41.658649,-0.911615,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                             
81202,,Tudela de Navarra,,42.0594340,-1.5979310,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                           
81200,,Castejon de Ebro,,42.1727190,-1.6921140,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                            
81108,,Calahorra,,42.3104580,-1.9577550,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                   
81100,,Logronyo,,42.4574590,-2.4421930,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                    
81002,,Haro,,42.5836350,-2.8493960,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                        
80100,,Pamplona/irunya,,42.8248770,-1.6614190,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                             
80108,,Tafalla,,42.5257560,-1.6714670,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                     
20309,,Lugo,,43.0152220,-7.5521760,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                        
22100,,Ourense,,42.3503890,-7.8727770,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                     
20300,,Monforte de Lemos,,42.5296820,-7.5035890,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                           
20305,,Sarria,,42.7840490,-7.4188220,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                      
60000,,Madrid-Puerta de Atocha,,40.4064420,-3.6908860,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                     
04007,,Guadalajara - Yebes,,40.5873150,-3.1243010,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                         
70600,,Calatayud,,41.3466920,-1.6386800,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                   
22308,,Vigo Guixar,,42.2395030,-8.7118170,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                 
11014,,Burgos-Rosa de Lima,,42.3711970,-3.6663080,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                         
14100,,Palencia,,42.0157110,-4.5341350,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                    
15009,,Sahagun,,42.3693290,-5.0226670,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                     
15100,,Leon,,42.5960480,-5.5824280,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                        
20100,,Astorga,,42.4594890,-6.0472120,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                     
20111,,Bembibre,,42.6095580,-6.4220480,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                    
20200,,Ponferrada,,42.5454290,-6.6023760,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                  
20211,,O Barco de Valdeorras,,42.4183010,-6.9850300,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                       
20213,,A Rua-Petin,,42.3927600,-7.1132840,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                 
20216,,San Clodio-Quiroga,,42.4652710,-7.2871980,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                          
22300,,Redondela,,42.2860050,-8.6194020,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                   
22200,,Guillarei,,42.0656630,-8.6225300,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                   
22201,,O Porrinyo,,42.1641900,-8.6220200,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                  
31412,,A Corunya,,43.3527610,-8.4097550,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                   
31400,,Santiago de Compostela,,42.8708420,-8.5446970,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                      
30100,,Salamanca,,40.9722350,-5.6489900,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                   
10600,,Valladolid,,41.6421670,-4.7269860,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                  
10500,,Medina del Campo,,41.3176170,-4.9099230,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                            
51405,,Cadiz,,36.5290083,-6.2882055,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                       
60600,,Albacete-Los Llanos,,38.9993840,-1.8484500,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                         
60500,,Villarrobledo,,39.2608680,-2.5986210,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                               
60406,,Socuellamos,,39.2787760,-2.7755710,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                 
50100,,Manzanares,,39.0058370,-3.3705070,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                  
50102,,Valdepenyas,,38.7628680,-3.3957200,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                 
50207,,Vilches,,38.2157420,-3.5175760,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                     
50400,,Espeluy,,38.0102470,-3.8327260,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                     
50403,,Andujar,,38.0282250,-4.0660360,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                     
50500,,Cordoba,,37.8882910,-4.7894530,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                     
51003,,Sevilla-Santa Justa,,37.3921277,-5.9752694,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                         
51300,,Jerez de La Frontera,,36.6800290,-6.1264716,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                        
51400,,Puerto de Santa Maria,,36.6037962,-6.2171641,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                       
51406,,San Fernando-Bahia Sur,,36.4680361,-6.2067638,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                      
81109,,Rincon de Soto,,42.2300110,-1.8474730,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                              
81110,,Alfaro,,42.1865250,-1.7479850,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                      
03216,,Valencia Joaquin Sorolla,,39.4590510,-0.3829230,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                    
04307,,Figueres Vilafant,,42.2647710,2.94354700,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                           
79300,,Girona,,41.9793030,2.81700600,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                      
65200,,Sagunt/sagunto,,39.6756611,-0.2715972,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                              
65304,,Orpesa,,40.0922580,0.13986100,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                      
54413,,Malaga Maria Zambrano,,36.7113388,-4.4313888,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                       
37300,,Puertollano,,38.6912800,-4.1116550,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                 
37200,,Ciudad Real,,38.9853000,-3.9136330,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                 
02003,,Antequera-Santa Ana,,37.0698810,-4.7190140,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                         
02002,,Puente Genil-Herrera,,37.3579000,-4.8216380,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                        
37704,,Villanueva de Cordoba-Los Pedroches,,38.2554049,-4.5709520,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                         
05000,,Granada,,37.1840380,-3.6091540,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                     
05012,,Loja,,37.1753720,-4.1348410,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                        
43019,,Huelva,,37.2530790,-6.9509710,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                      
43011,,La Palma del Condado,,37.3906650,-6.5544440,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                        
74200,,Huesca,,42.1335940,-0.4097450,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                      
78200,,Tardienta,,41.9757160,-0.5382230,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                   
03208,,Cuenca Fernando Zobel,,40.0351920,-2.1444100,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                       
30200,,Zamora,,41.5158920,-5.7396750,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                      
11500,,Tolosa,,43.131936,-2.085247,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                        
21010,,Ferrol,,43.4880349,-8.2311430,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                      
08004,,Segovia Guiomar,,40.9105770,-4.0945640,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                             
08240,,Medina del Campo Alta Velocidad,,41.3174590,-4.9100710,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                             
08247,,PUEBLA DE SANABRIA LLEGADA,,42.0457630,-6.6268480,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                  
08251,,A GUDIÑA-PORTA DE GALICIA,,42.0606439,-7.1325320,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                   
20400,,Betanzos-Infesta,,43.2706980,-8.2258470,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                            
21001,,Betanzos-Cidade,,43.2841370,-8.2158740,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                             
21004,,Pontedeume,,43.4117970,-8.1804160,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                  
15410,,Gijon,,43.535175,-5.698318,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                         
